dateSample,depthTop,temp,DOmgL
2015-05-21,0,14.1,8.29
2015-05-21,0.25,NA,NA
2015-05-21,0.5,13.8,8.18
2015-05-21,0.75,NA,NA
2015-05-21,1,12,7.7
2015-05-21,1.5,10.7,5.12
2015-05-21,2,9.3,1.03
2015-05-21,2.5,6.4,0.71
2015-05-21,3,5.6,0.5
2015-05-21,3.5,5.1,0.17
2015-05-21,4,4.9,0.15
2015-05-21,4.5,4.7,0.14
2015-05-21,5,4.6,0.12
2015-05-21,5.5,4.5,0.12
2015-05-21,6,4.5,0.1
2015-05-21,6.5,4.5,0.11
2015-05-21,7,4.6,0.1
2015-06-02,0,16.7,7.51
2015-06-02,0.25,NA,NA
2015-06-02,0.5,16.3,7.25
2015-06-02,0.75,NA,NA
2015-06-02,1,14.6,5.51
2015-06-02,1.5,11,1.21
2015-06-02,2,8.5,0.48
2015-06-02,2.5,6.6,0.23
2015-06-02,3,5.6,0.21
2015-06-02,3.5,5.2,0.19
2015-06-02,4,4.8,0.17
2015-06-02,4.5,4.8,0.16
2015-06-02,5,4.7,0.16
2015-06-15,0,17.9,9.09
2015-06-15,0.25,NA,NA
2015-06-15,0.5,18,7.21
2015-06-15,0.75,NA,NA
2015-06-15,1,17.4,1.2
2015-06-15,1.5,13.1,0.29
2015-06-15,2,9.4,0.21
2015-06-15,2.5,7.6,0.21
2015-06-15,3,6.4,0.2
2015-06-15,3.5,5.5,0.19
2015-06-15,4,5.2,0.18
2015-06-15,4.5,4.9,0.18
2015-06-15,5,4.8,0.18
2015-06-15,5.5,4.7,0.16
2015-06-15,6,4.7,0.15
2015-06-15,6.5,4.6,0.15
2015-06-15,7,4.6,0.15
2015-06-15,7.5,4.7,0.14
2015-06-15,8,4.7,0.14
2015-06-30,0,20.2,5.62
2015-06-30,0.25,NA,NA
2015-06-30,0.5,20.3,5.24
2015-06-30,0.75,NA,NA
2015-06-30,1,18.4,0.73
2015-06-30,1.5,14.1,0.38
2015-06-30,2,10.3,0.31
2015-06-30,2.5,7.7,0.28
2015-06-30,3,6.4,0.26
2015-06-30,3.5,5.6,0.26
2015-06-30,4,5.3,0.23
2015-06-30,4.5,5,0.21
2015-06-30,5,4.9,0.21
2015-06-30,5.5,4.8,0.19
2015-06-30,6,4.7,0.18
2015-06-30,6.5,4.7,0.18
2015-06-30,7,4.7,0.18
2015-06-30,7.5,4.7,0.16
2015-06-30,8,4.8,0.15
2015-07-14,0,22,5.21
2015-07-14,0.25,NA,NA
2015-07-14,0.5,22.2,4.93
2015-07-14,0.75,NA,NA
2015-07-14,1,18.8,0.28
2015-07-14,1.5,15.7,0.18
2015-07-14,2,11.1,0.16
2015-07-14,2.5,8.7,0.14
2015-07-14,3,6.7,0.14
2015-07-14,3.5,6.1,0.13
2015-07-14,4,5.4,0.12
2015-07-14,4.5,5.2,0.11
2015-07-14,5,5,0.1
2015-07-14,5.5,4.9,0.09
2015-07-14,6,4.8,0.08
2015-07-14,6.5,4.8,0.07
2015-07-14,7,4.7,0.07
2015-07-14,7.5,4.8,0.07
2015-07-14,8,4.9,0.06
2015-07-14,9,4.9,0.06
2015-07-14,10,5,0.05
2015-07-28,0,24.6,5.12
2015-07-28,0.25,NA,NA
2015-07-28,0.5,24.7,4.62
2015-07-28,0.75,NA,NA
2015-07-28,1,20.5,0.6
2015-07-28,1.5,15.2,0.44
2015-07-28,2,11.7,0.4
2015-07-28,2.5,9,0.36
2015-07-28,3,7.6,0.34
2015-07-28,3.5,6.2,0.32
2015-07-28,4,5.6,0.28
2015-07-28,4.5,5.3,0.27
2015-07-28,5,5.1,0.25
2015-07-28,5.5,5,0.24
2015-07-28,6,4.9,0.23
2015-07-28,6.5,4.8,0.22
2015-07-28,7,4.8,0.21
2015-07-28,7.5,4.9,0.21
2015-07-28,8,4.9,0.19
2015-07-28,9,5,0.19
2015-07-28,10,5,0.18
2015-07-28,11,5.1,0.18
2015-08-11,0,22.4,6.84
2015-08-11,0.25,NA,NA
2015-08-11,0.5,22.1,6.63
2015-08-11,0.75,NA,NA
2015-08-11,1,19.4,1.12
2015-08-11,1.5,16.7,0.29
2015-08-11,2,12.9,0.32
2015-08-11,2.5,9.9,0.31
2015-08-11,3,7.5,0.34
2015-08-11,3.5,6.5,0.33
2015-08-11,4,5.8,0.32
2015-08-11,4.5,5.5,0.3
2015-08-11,5,5.2,0.29
2015-08-11,5.5,5,0.29
2015-08-11,6,4.9,0.27
2015-08-11,6.5,4.9,0.27
2015-08-11,7,4.9,0.26
